url,id,title,date,section,method_queries,in_training,word_count
https://www.theguardian.com/uk-news/2025/feb/27/martin-lewis-charity-money-worries-mental-health-policy-institute,uk-news/2025/feb/27/martin-lewis-charity-money-worries-mental-health-policy-institute,‘We have to protect people’: Martin Lewis on his fight to stop money worries worsening mental health,2025-02-27T17:26:26Z,UK news,casestudy,yes,965
https://www.theguardian.com/commentisfree/2025/jan/02/the-guardian-view-on-the-blair-era-archives-fateful-decisions-come-in-many-guises,commentisfree/2025/jan/02/the-guardian-view-on-the-blair-era-archives-fateful-decisions-come-in-many-guises,The Guardian view on the Blair-era archives: fateful decisions come in many guises | Editorial,2025-01-02T18:25:32Z,Opinion,casestudy,yes,610
https://www.theguardian.com/global-development/2025/mar/03/those-of-us-who-rely-on-aid-must-accept-the-new-reality-and-shape-our-own-destiny,global-development/2025/mar/03/those-of-us-who-rely-on-aid-must-accept-the-new-reality-and-shape-our-own-destiny,Those who depend on aid must embrace Trump’s bombshell and shape their own destiny | Janet Mawiyoo,2025-03-03T06:30:29Z,Global development,casestudy,yes,830
https://www.theguardian.com/science/2025/feb/23/forensic-science-centre-that-inspired-bbc-show-traces-at-risk-of-closure,science/2025/feb/23/forensic-science-centre-that-inspired-bbc-show-traces-at-risk-of-closure,Forensic science centre that inspired BBC show Traces at risk of closure,2025-02-23T11:02:08Z,Science,casestudy,yes,576
https://www.theguardian.com/news/ng-interactive/2025/may/24/something-has-gone-very-wrong-how-the-carers-scandal-was-exposed,news/ng-interactive/2025/may/24/something-has-gone-very-wrong-how-the-carers-scandal-was-exposed,‘Something has gone very wrong’: how the carers scandal was exposed,2025-05-24T06:00:52Z,News,"casestudy,expert_qual",yes,2927
https://www.theguardian.com/books/2025/mar/27/abundance-by-ezra-klein-and-derek-thompson-review-make-america-build-again,books/2025/mar/27/abundance-by-ezra-klein-and-derek-thompson-review-make-america-build-again,Abundance by Ezra Klein and Derek Thompson review – make America build again,2025-03-27T11:00:19Z,Books,casestudy,yes,819
https://www.theguardian.com/uk-news/2024/feb/26/northumberland-line-passenger-trains-return,uk-news/2024/feb/26/northumberland-line-passenger-trains-return,‘Proper exciting’: passenger trains to return to Northumberland Line after 60 years,2024-02-26T05:00:17Z,UK news,casestudy,yes,846
https://www.theguardian.com/commentisfree/2023/dec/18/jordan-peterson-labour-ruin-britain-tories,commentisfree/2023/dec/18/jordan-peterson-labour-ruin-britain-tories,Jordan Peterson thinks Labour will ruin Britain. Has no one told him about the Tories? | Zoe Williams,2023-12-18T14:41:43Z,Opinion,casestudy,yes,692
https://www.theguardian.com/books/2023/nov/17/stuffed-by-pen-vogler-review-tasting-history,books/2023/nov/17/stuffed-by-pen-vogler-review-tasting-history,Stuffed by Pen Vogler review – tasting history,2023-11-17T07:30:37Z,Books,casestudy,yes,732
https://www.theguardian.com/environment/2025/apr/02/ministers-lose-appeal-against-yorkshire-anglers-river-pollution-ruling,environment/2025/apr/02/ministers-lose-appeal-against-yorkshire-anglers-river-pollution-ruling,Environment secretary’s appeal against Yorkshire river pollution ruling fails,2025-04-02T15:50:54Z,Environment,casestudy,yes,493
https://www.theguardian.com/commentisfree/2024/sep/25/peter-dutton-nuclear-power-policy-plants-cost-electricity-prices,commentisfree/2024/sep/25/peter-dutton-nuclear-power-policy-plants-cost-electricity-prices,Peter Dutton has failed to address the extremely high cost of nuclear – but it can only increase power bills | Johanna Bowyer and Tristan Edis,2024-09-24T23:36:28Z,Opinion,casestudy,yes,724
https://www.theguardian.com/australia-news/article/2024/jun/19/morning-mail-dutton-goes-nuclear-100bn-crisis-profits-tories-face-wipeout-ntwnfb,australia-news/article/2024/jun/19/morning-mail-dutton-goes-nuclear-100bn-crisis-profits-tories-face-wipeout-ntwnfb,"Morning Mail: Dutton goes nuclear, $100bn ‘crisis profits’, Tories face wipeout",2024-06-18T20:45:45Z,Australia news,casestudy,yes,984
https://www.theguardian.com/law/2024/dec/06/busybody-fines-up-42-in-2023-in-england-and-wales-report-shows,law/2024/dec/06/busybody-fines-up-42-in-2023-in-england-and-wales-report-shows,"‘Busybody’ fines up 42% in 2023 in England and Wales, report shows",2024-12-06T11:32:05Z,Law,casestudy,yes,681
https://www.theguardian.com/world/2024/jan/16/new-zealand-government-voting-age-change-rejected-minimum-terms-parliament,world/2024/jan/16/new-zealand-government-voting-age-change-rejected-minimum-terms-parliament,New Zealand government rejects Ardern-era bid to lower voting age,2024-01-16T04:12:05Z,World news,"casestudy,expert_qual",yes,576
https://www.theguardian.com/australia-news/2022/dec/24/morally-questionable-compliance-element-should-be-scrapped-from-controversial-parentsnext-scheme-mps-told,australia-news/2022/dec/24/morally-questionable-compliance-element-should-be-scrapped-from-controversial-parentsnext-scheme-mps-told,"‘Morally questionable’: compliance element should be scrapped from controversial ParentsNext scheme, MPs told",2022-12-23T14:00:10Z,Australia news,casestudy,yes,766
https://www.theguardian.com/commentisfree/2025/mar/24/donald-trump-imperial-plan-usa-peoples-rights,commentisfree/2025/mar/24/donald-trump-imperial-plan-usa-peoples-rights,Trump’s imperial plan is now eroding the rights of people who thought they were safe | Nesrine Malik,2025-03-24T06:00:41Z,Opinion,casestudy,yes,1124
https://www.theguardian.com/uk-news/2025/jun/24/english-heritage-chief-nick-merriman-steps-down-after-overseeing-controversial-cost-cuts,uk-news/2025/jun/24/english-heritage-chief-nick-merriman-steps-down-after-overseeing-controversial-cost-cuts,English Heritage chief steps down after overseeing controversial cost cuts,2025-06-24T13:36:35Z,UK news,casestudy,yes,608
https://www.theguardian.com/environment/2022/jun/09/david-littleprouds-coal-case-study-to-defend-coalition-energy-policy-is-something-of-a-credibility-stretch,environment/2022/jun/09/david-littleprouds-coal-case-study-to-defend-coalition-energy-policy-is-something-of-a-credibility-stretch,David Littleproud’s coal case study to defend Coalition energy policy is something of a credibility stretch | Temperature Check,2022-06-09T00:30:04Z,Environment,casestudy,yes,989
https://www.theguardian.com/music/2024/oct/19/australia-live-music-industry-live-nation-ticketmaster-investigations,music/2024/oct/19/australia-live-music-industry-live-nation-ticketmaster-investigations,The crisis facing Australian live music is older and bigger than just Live Nation,2024-10-18T23:00:04Z,Music,casestudy,yes,851
https://www.theguardian.com/uk-news/article/2024/may/20/scotland-vulnerable-marine-protection-areas,uk-news/article/2024/may/20/scotland-vulnerable-marine-protection-areas,"Scotland’s vulnerable marine life not properly protected, campaigners warn",2024-05-20T05:00:01Z,UK news,casestudy,yes,904
https://www.theguardian.com/us-news/article/2024/jun/17/between-hollow-rhetoric-and-war-how-sanctions-work-and-why-they-often-dont,us-news/article/2024/jun/17/between-hollow-rhetoric-and-war-how-sanctions-work-and-why-they-often-dont,Between hollow rhetoric and war: how sanctions work – and why they often don’t,2024-06-16T23:44:32Z,US news,casestudy,yes,1105
https://www.theguardian.com/uk-news/2025/jun/01/southport-attack-unrest-1958-race-riots-2011-disorder-far-right-protests,uk-news/2025/jun/01/southport-attack-unrest-1958-race-riots-2011-disorder-far-right-protests,"Riots after Southport attack more similar to those in 1958 than in 2011, study finds",2025-06-01T11:00:13Z,UK news,casestudy,yes,838
https://www.theguardian.com/politics/live/2025/may/12/immigration-keir-starmer-labour-reform-visa-foreign-workers-uk-politics-latest-live-news,politics/live/2025/may/12/immigration-keir-starmer-labour-reform-visa-foreign-workers-uk-politics-latest-live-news,Labour MP says Starmer’s ‘island of strangers’ warning over immigration mimics scaremongering of far right – as it happened,2025-05-12T17:11:35Z,Politics,casestudy,yes,10438
https://www.theguardian.com/commentisfree/2025/apr/01/gary-caldwell-scottish-accent-bias-england-football-exeter-city,commentisfree/2025/apr/01/gary-caldwell-scottish-accent-bias-england-football-exeter-city,Is my Scottish accent really the problem – or is it just your English ears? | Catriona Stewart,2025-04-01T09:00:14Z,Opinion,casestudy,yes,809
