article_idx,article_id,url,title,in_training,dominant_prob_seed42,companion_stability
33,uk-news/article/2024/may/20/scotland-vulnerable-marine-protection-areas,https://www.theguardian.com/uk-news/article/2024/may/20/scotland-vulnerable-marine-protection-areas,"Scotland’s vulnerable marine life not properly protected, campaigners warn",yes,0.5012,0.5364
34,us-news/article/2024/jun/17/between-hollow-rhetoric-and-war-how-sanctions-work-and-why-they-often-dont,https://www.theguardian.com/us-news/article/2024/jun/17/between-hollow-rhetoric-and-war-how-sanctions-work-and-why-they-often-dont,Between hollow rhetoric and war: how sanctions work – and why they often don’t,yes,0.3817,0.2287
35,uk-news/2025/jun/01/southport-attack-unrest-1958-race-riots-2011-disorder-far-right-protests,https://www.theguardian.com/uk-news/2025/jun/01/southport-attack-unrest-1958-race-riots-2011-disorder-far-right-protests,"Riots after Southport attack more similar to those in 1958 than in 2011, study finds",yes,0.2582,0.248
36,business/2024/sep/24/minister-naming-and-shaming-tulip-siddiq-financial-conduct-authority,https://www.theguardian.com/business/2024/sep/24/minister-naming-and-shaming-tulip-siddiq-financial-conduct-authority,Minister urges UK financial regulator to rethink ‘naming and shaming’ plan,yes,0.4926,0.2745
37,environment/2025/apr/25/public-affairs-firms-in-europe-enable-pollution-by-lobbying-for-big-oil-says-analysis,https://www.theguardian.com/environment/2025/apr/25/public-affairs-firms-in-europe-enable-pollution-by-lobbying-for-big-oil-says-analysis,"Public affairs firms in Europe enable pollution by lobbying for big oil, says analysis",yes,0.4331,0.5083
38,society/2024/apr/19/unpaid-carers-not-claiming-allowance-benefit,https://www.theguardian.com/society/2024/apr/19/unpaid-carers-not-claiming-allowance-benefit,"Half a million unpaid carers in UK not claiming £4,200 a year benefit",yes,0.9245,0.2917
39,australia-news/article/2024/may/22/medical-cannabis-driving-trial-australia-dui-roadside-drug-impairment-test,https://www.theguardian.com/australia-news/article/2024/may/22/medical-cannabis-driving-trial-australia-dui-roadside-drug-impairment-test,Medical cannabis: cross-party committee says Australia needs new roadside impairment test,yes,0.4056,0.3365
40,environment/2024/feb/12/england-brings-in-biodiversity-net-gain-rules-to-force-builders-to-compensate-for-loss-of-nature,https://www.theguardian.com/environment/2024/feb/12/england-brings-in-biodiversity-net-gain-rules-to-force-builders-to-compensate-for-loss-of-nature,England brings in biodiversity rules to force builders to compensate for loss of nature,yes,0.5867,0.5364
41,world/article/2024/may/21/first-edition-iran-ebrahim-raisi,https://www.theguardian.com/world/article/2024/may/21/first-edition-iran-ebrahim-raisi,Tuesday briefing: What the death of Ebrahim Raisi means for Iran’s political future,yes,0.4085,0.2962
42,us-news/2024/nov/07/4b-movement-trump-women,https://www.theguardian.com/us-news/2024/nov/07/4b-movement-trump-women,‘No man will touch me until I have my rights back’: why is the 4B movement going viral after Trump’s win?,yes,0.3403,0.248
43,science/article/2024/jun/20/global-emergency-preparation-food-storage-grain,https://www.theguardian.com/science/article/2024/jun/20/global-emergency-preparation-food-storage-grain,Economist suggests storing grain to prepare for next global emergency,yes,0.554,0.3194
